"YEAR","AE","AO","AR","AU","AZ","BN","BP_EU2","BP_FSU","BP_NONOECD","BP_NONOPEC","BP_OAF","BP_OAP","BP_OECD","BP_OME","BP_OPEC","BP_OSCA","BP_TAF","BP_TAP","BP_TEU","BP_TME","BP_TNA","BP_TSCA","BP_WORLD","BR","CA","CG","CN","CO","DK","DZ","EC","EG","GA","GB","GQ","ID","IN","IQ","IR","IT","KW","KZ","LY","MX","MY","NG","NO","OM","PE","QA","RO","RU","SA","SD","SS","SY","TD","TH","TM","TN","TT","US","UZ","VE","VN","YE"
1999,97.8,5.05,3.071,4.743,1.178,1.3,8.79,"na",1025.455,446.78,0.698,1.417,256.372,0.153,835.047,1.277,84.72,39.931,20.338,685.834,232.75,97.779,1281.827,8.153,181.56,1.7,15.112,2.289,0.906,11.314,4.428,3.767,2.565,4.987,0.555,5.2,4.972,112.5,93.1,0.636,96.5,5.4,29.5,21.519,5.029,29.0,10.938,5.744,0.891,13.103,1.225,112.112,262.784,0.262,"na",2.3,0.0,0.358,0.546,0.308,0.821,29.671,0.594,76.848,1.8,1.85
2000,97.8,5.972,2.974,4.944,1.178,1.23,8.654,"na",1044.677,448.042,0.678,1.308,256.248,0.153,852.883,1.327,93.049,40.077,20.649,696.689,232.08,97.908,1300.925,8.464,181.504,1.65,15.19,1.972,1.113,11.314,4.566,3.627,2.42,4.725,0.8,5.12,5.29,112.5,99.53,0.598,96.5,5.4,36.0,20.186,4.53,29.0,11.366,5.848,0.906,16.867,1.17,112.112,262.766,0.262,"na",2.325,0.9,0.515,0.546,0.425,0.851,30.39,0.594,76.848,1.95,2.4
2001,97.8,6.5,2.879,4.956,1.178,1.16,8.585,"na",1050.89,446.328,0.615,1.247,254.496,0.129,859.058,1.371,96.672,40.629,20.782,698.667,230.147,98.831,1305.386,8.485,180.941,1.57,15.412,1.842,1.346,11.314,4.63,3.668,2.4,4.537,1.11,5.1,5.513,115.0,99.08,0.568,96.5,5.4,36.0,18.767,4.457,31.506,11.597,5.9,0.979,16.836,1.154,111.295,262.697,0.563,"na",2.325,0.9,0.584,0.546,0.526,0.96,30.439,0.594,77.685,2.2,2.4
2002,97.8,8.9,2.821,4.573,7.0,1.1,7.788,"na",1103.937,448.09,0.569,1.114,250.923,0.129,906.771,1.626,101.592,40.636,18.83,741.346,228.267,100.327,1354.86,9.804,180.4,1.506,15.509,1.632,1.277,11.314,5.06,3.525,2.37,4.463,1.095,4.72,5.576,115.0,130.69,0.554,96.5,5.4,36.0,17.196,4.54,34.349,10.448,5.706,0.953,27.596,0.508,109.677,262.79,0.563,"na",2.28,0.9,0.692,0.546,0.501,1.125,30.671,0.594,77.307,2.812,2.855
2003,97.8,8.801,2.675,3.749,7.0,1.05,7.646,"na",1115.39,446.467,0.554,1.429,246.705,0.129,915.629,1.473,106.245,40.465,18.4,745.742,225.294,100.398,1362.096,10.602,179.903,1.506,15.476,1.542,1.277,11.8,5.06,3.525,2.285,4.282,1.28,4.73,5.731,115.0,133.25,0.505,99.0,9.0,39.126,16.041,4.84,35.255,10.149,5.572,0.93,27.016,0.494,107.767,262.73,0.563,"na",2.395,0.9,0.5,0.546,0.65,0.891,29.35,0.594,77.226,2.96,2.85
2004,97.8,9.035,2.478,3.889,7.0,1.12,7.262,"na",1124.623,446.119,0.563,1.451,244.411,0.128,922.916,1.468,107.625,43.356,17.572,750.073,223.678,103.482,1369.035,11.243,179.576,1.506,18.259,1.478,1.327,11.8,5.18,3.62,2.19,3.998,1.765,4.3,5.565,115.0,132.74,0.463,101.5,9.0,39.126,14.803,5.16,35.876,9.722,5.572,1.097,26.865,0.468,105.464,264.31,0.563,"na",3.159,0.9,0.527,0.546,0.681,0.809,29.299,0.594,79.729,3.084,3.0
2005,97.8,9.05,2.18,3.718,7.0,1.105,7.022,"na",1133.422,445.322,0.546,1.416,243.959,0.128,932.058,1.47,111.35,43.422,17.303,755.531,223.636,103.949,1377.381,11.772,180.044,1.506,18.25,1.453,1.277,12.27,5.18,3.72,2.146,3.87,1.805,4.19,5.919,115.0,137.49,0.46,101.5,9.0,41.464,13.67,5.252,36.22,9.688,5.572,1.078,27.91,0.458,104.405,264.211,0.563,"na",3.0,1.5,0.453,0.546,0.56,0.803,29.922,0.594,80.012,3.119,2.921
2006,97.8,9.33,2.587,3.515,7.0,1.2,6.612,"na",1149.131,448.287,0.655,1.391,240.215,0.128,941.06,0.844,117.24,45.456,15.739,755.867,221.656,111.517,1389.347,12.182,179.362,1.6,20.22,1.509,1.157,12.27,5.18,3.72,2.15,3.592,1.755,4.37,5.693,115.0,138.4,0.45,101.5,9.0,41.464,12.85,5.357,37.2,8.546,5.572,1.097,27.436,0.478,104.034,264.251,5.0,"na",3.0,1.5,0.461,0.6,0.596,0.794,29.444,0.594,87.324,3.25,2.78
2007,97.8,9.5,2.616,3.429,7.0,1.078,6.358,"na",1187.756,471.025,0.659,1.268,239.334,0.128,956.065,0.821,119.698,45.316,15.099,754.921,221.481,125.308,1427.09,12.624,178.834,1.6,20.763,1.51,1.113,12.2,6.368,4.07,2.0,3.39,1.705,3.989,5.459,115.0,138.22,0.456,101.5,30.0,43.663,12.187,5.46,37.2,8.168,5.572,1.121,27.323,0.48,106.427,264.209,5.0,"na",2.5,1.5,0.461,0.6,0.601,0.871,30.46,0.594,99.377,3.41,2.67
2008,97.8,9.5,2.52,4.239,7.0,1.078,5.7,"na",1262.005,467.466,0.658,1.259,233.987,0.128,1028.526,0.812,120.411,48.013,13.784,753.685,216.611,198.281,1495.992,12.801,176.35,1.6,21.187,1.362,0.811,12.2,6.511,4.2,2.0,3.06,1.705,3.748,5.798,115.0,137.62,0.47,101.5,30.0,44.271,11.866,5.52,37.2,7.491,5.572,1.121,26.833,0.48,106.366,264.063,5.0,"na",2.5,1.5,0.454,0.6,0.577,0.83,28.396,0.594,172.323,4.73,2.67
2009,97.8,9.5,2.511,4.061,7.0,1.1,6.047,"na",1300.453,466.618,0.621,1.123,234.683,0.309,1068.518,0.769,122.573,46.535,13.698,753.116,217.753,237.152,1535.136,12.876,175.015,1.6,21.618,1.36,0.918,12.2,6.511,4.4,2.0,2.835,1.705,4.303,5.823,115.0,137.01,0.528,101.5,30.0,46.422,11.866,3.572,37.2,7.078,5.5,1.121,25.907,0.6,105.564,264.59,5.0,"na",2.5,1.5,0.435,0.6,0.425,0.83,30.872,0.594,211.173,4.5,3.0
2010,97.8,9.055,2.524,3.831,7.0,1.1,5.999,"na",1405.162,475.429,2.266,1.107,237.901,0.277,1167.634,0.768,124.548,47.951,13.385,765.947,221.529,325.216,1643.063,14.246,174.848,1.6,23.268,1.9,0.899,12.2,7.206,4.5,2.0,2.805,1.705,4.23,5.833,115.0,151.17,0.58,101.5,30.0,47.097,11.691,3.739,37.2,6.804,5.5,1.24,24.684,0.6,105.8,264.516,5.0,"na",2.5,1.5,0.442,0.6,0.425,0.83,34.99,0.594,296.501,4.4,3.0
2011,97.8,9.055,2.525,3.873,7.0,1.1,6.174,"na",1439.306,480.017,2.186,1.11,242.023,0.652,1201.312,0.507,124.232,47.867,13.639,797.937,225.346,327.911,1681.329,15.05,174.177,1.6,23.747,1.988,0.805,12.2,8.235,4.3,2.0,3.098,1.705,3.741,5.704,143.1,154.58,0.578,101.5,30.0,48.014,11.394,3.739,36.247,6.883,5.5,1.206,23.9,0.6,105.709,265.405,5.0,"na",2.5,1.5,0.453,0.6,0.425,0.83,39.775,0.594,297.571,4.4,3.0
2012,97.8,9.055,2.354,3.922,7.0,1.1,5.953,"na",1444.425,486.327,3.686,1.075,246.422,0.279,1204.52,0.512,126.982,48.502,14.003,799.258,229.32,328.603,1690.847,15.314,173.716,1.6,24.428,2.2,0.73,12.2,8.235,4.2,2.0,3.038,1.705,3.741,5.72,140.3,157.3,0.621,101.5,30.0,48.472,11.424,3.668,37.139,7.495,5.5,1.423,25.229,0.6,105.492,265.85,1.5,3.5,2.5,1.5,0.449,0.6,0.425,0.83,44.18,0.594,297.735,4.4,3.0
2013,97.8,9.011,2.33,3.957,7.0,1.1,5.845,"na",1449.457,488.972,3.686,1.345,249.21,0.261,1209.695,0.528,126.461,49.101,13.468,802.898,232.579,330.456,1698.667,15.593,173.038,1.6,24.683,2.377,0.673,12.2,8.832,3.9,2.0,3.03,1.705,3.692,5.711,144.211,157.8,0.603,101.5,30.0,48.363,11.079,3.75,37.071,7.047,4.974,1.617,25.063,0.6,105.016,265.789,1.5,3.5,2.5,1.5,0.462,0.6,0.425,0.83,48.463,0.594,298.35,4.4,3.0
2014,97.8,8.423,2.38,3.982,7.0,1.1,5.645,"na",1448.543,492.487,3.762,1.283,253.886,0.239,1209.942,0.529,125.502,49.304,12.761,803.072,237.934,332.004,1702.429,16.184,172.156,1.6,25.166,2.445,0.61,12.2,8.273,3.681,2.0,2.805,1.1,3.624,5.743,143.069,157.53,0.642,101.5,30.0,48.363,10.816,3.6,37.448,6.539,5.151,1.41,25.705,0.6,103.164,266.578,1.5,3.5,2.5,1.5,0.405,0.6,0.425,0.83,54.962,0.594,299.953,4.4,3.0
2015,97.8,9.524,2.395,3.985,7.0,1.1,5.232,"na",1445.164,478.341,4.012,1.29,244.479,0.217,1211.302,0.536,126.259,48.786,13.83,802.925,227.476,329.305,1689.643,13.0,171.512,1.6,25.626,2.308,0.491,12.2,8.273,3.473,2.0,2.542,1.1,3.603,4.786,142.503,158.4,0.617,101.5,30.0,48.363,7.976,3.6,37.062,8.005,5.306,1.187,25.244,0.6,102.375,266.455,1.5,3.5,2.5,1.5,0.396,0.6,0.425,0.728,47.987,0.594,300.878,4.4,3.0
2016,97.8,9.523,2.162,3.985,7.0,1.1,4.804,"na",1453.106,479.647,3.965,1.214,243.977,0.147,1217.436,0.52,126.513,48.297,13.074,807.738,227.738,328.865,1697.083,12.634,170.553,1.6,25.664,2.002,0.44,12.2,8.273,3.384,2.0,2.313,1.1,3.307,4.678,148.766,157.2,0.541,101.5,30.0,48.363,7.219,3.6,37.453,7.601,5.373,1.225,25.244,0.6,106.171,266.208,1.5,3.5,2.5,1.5,0.349,0.6,0.425,0.243,49.966,0.594,301.806,4.4,3.0
2017,97.8,9.523,2.162,3.995,7.0,1.1,4.811,"na",1453.972,477.792,3.965,1.208,242.632,0.126,1218.812,0.521,126.454,48.036,13.351,807.717,226.106,330.065,1696.604,12.794,168.922,1.6,25.664,1.665,0.44,12.2,8.273,3.325,2.0,2.313,1.1,3.171,4.549,148.766,157.2,0.592,101.5,30.0,48.363,7.219,3.6,37.453,7.918,5.373,1.225,25.244,0.6,106.187,266.208,1.5,3.5,2.5,1.5,0.349,0.6,0.425,0.243,49.966,0.594,303.182,4.4,3.0
