"YEAR","AE","AR","AU","AZ","BD","BH","BN","BO","BP_EU2","BP_FSU","BP_NONOECD","BP_OAF","BP_OAP","BP_OECD","BP_OME","BP_OSCA","BP_TAF","BP_TAP","BP_TEU","BP_TME","BP_TNA","BP_TSCA","BP_WORLD","BR","CA","CN","CO","DE","DK","DZ","EG","GB","ID","IN","IQ","IR","IT","KW","KZ","LY","MM","MX","MY","NG","NL","NO","OM","PE","PK","PL","QA","RO","RU","SA","SY","TH","TM","TT","UA","US","UZ","VE","VN","YE"
1975,0.157,0.724,0.558,"na",0.065,0.211,0.522,0.172,19.18,26.511,38.051,0.057,0.686,75.654,0.006,0.073,1.116,3.44,19.353,2.611,58.307,2.368,113.705,0.041,6.914,0.863,0.144,1.791,0.0,0.595,0.005,3.464,0.229,0.103,0.119,1.374,1.351,0.295,"na",0.426,0.017,1.271,0.028,0.032,7.772,0.0,0.0,0.055,0.368,0.546,0.201,2.73,"na",0.249,0.0,0.0,"na",0.149,"na",50.122,"na",1.01,0.0,0.0
1976,0.183,0.688,0.657,"na",0.085,0.22,0.687,0.177,20.374,29.334,42.025,0.043,0.752,76.286,0.005,0.114,1.325,3.95,20.574,2.704,57.776,2.647,118.311,0.048,6.955,0.982,0.146,1.881,0.0,0.748,0.035,3.658,0.23,0.125,0.165,1.396,1.448,0.354,"na",0.438,0.024,1.243,0.033,0.06,8.282,0.0,0.0,0.059,0.375,0.593,0.109,2.969,"na",0.268,0.003,0.0,"na",0.167,"na",49.578,"na",1.249,0.0,0.0
1977,0.368,0.712,0.752,"na",0.096,0.239,0.791,0.187,20.8,31.71,45.89,0.05,0.853,77.788,0.005,0.123,1.354,4.825,21.271,3.067,58.579,2.87,123.677,0.059,7.326,1.182,0.166,1.914,0.0,0.718,0.043,3.833,0.556,0.133,0.108,1.422,1.273,0.387,"na",0.464,0.022,1.322,0.031,0.079,8.331,0.255,0.0,0.059,0.41,0.626,0.155,3.153,"na",0.378,0.003,0.0,"na",0.197,"na",49.93,"na",1.367,0.0,0.0
1978,0.539,0.735,0.81,"na",0.105,0.263,0.775,0.184,20.241,34.111,49.678,0.058,0.818,78.236,0.005,0.14,1.806,5.741,21.825,2.946,58.451,3.034,127.914,0.078,7.07,1.339,0.221,2.046,0.0,1.113,0.069,3.67,1.068,0.149,0.112,0.89,1.272,0.434,"na",0.471,0.026,1.655,0.229,0.096,7.627,1.364,0.029,0.062,0.422,0.671,0.148,3.175,"na",0.522,0.003,0.0,"na",0.235,"na",49.726,"na",1.379,0.0,0.0
1979,0.576,0.68,0.932,"na",0.121,0.292,0.812,0.201,20.354,37.264,55.183,0.063,0.729,81.352,0.004,0.09,2.741,6.529,22.553,3.595,60.699,3.154,136.535,0.086,7.455,1.415,0.252,2.053,0.0,1.824,0.104,3.706,1.55,0.185,0.161,0.858,1.241,0.575,"na",0.624,0.026,2.009,0.284,0.127,7.998,1.985,0.049,0.057,0.475,0.602,0.437,3.033,"na",0.641,0.003,0.0,"na",0.243,"na",51.234,"na",1.545,0.0,0.0
1980,0.707,0.788,1.068,"na",0.136,0.236,0.813,0.246,19.518,39.776,57.741,0.08,0.746,80.194,0.0,0.08,2.396,6.936,22.14,3.322,59.961,3.403,137.935,0.1,6.873,1.388,0.269,1.871,0.0,1.487,0.202,3.514,1.813,0.109,0.117,0.456,1.152,0.373,"na",0.474,0.033,2.423,0.252,0.153,7.714,2.403,0.062,0.061,0.578,0.51,0.473,3.124,"na",0.891,0.005,0.0,"na",0.273,"na",50.665,"na",1.586,0.0,0.0
1981,0.836,0.822,1.16,"na",0.132,0.219,0.789,0.263,19.249,42.644,61.276,0.091,0.718,79.438,0.0,0.082,2.562,6.989,21.855,3.593,59.549,3.523,140.714,0.09,6.659,1.242,0.295,1.939,0.0,1.728,0.227,3.515,1.843,0.191,0.057,0.497,1.294,0.431,"na",0.29,0.04,2.618,0.213,0.225,7.181,2.396,0.074,0.071,0.633,0.454,0.433,3.297,"na",1.042,0.005,0.026,"na",0.302,"na",50.272,"na",1.599,0.001,0.0
1982,0.896,0.921,1.132,"na",0.171,0.346,0.788,0.273,17.785,45.888,66.158,0.099,0.765,74.884,0.004,0.086,3.146,7.28,20.302,4.024,56.531,3.87,141.042,0.128,6.99,1.163,0.315,1.376,0.0,2.255,0.249,3.573,1.874,0.251,0.063,0.681,1.329,0.338,"na",0.308,0.043,2.792,0.268,0.235,6.141,2.301,0.081,0.074,0.69,0.419,0.506,3.333,"na",1.105,0.005,0.134,"na",0.367,"na",46.75,"na",1.706,0.002,0.0
1983,0.789,1.236,1.229,"na",0.19,0.363,0.822,0.262,18.19,49.096,71.598,0.099,0.788,70.616,0.006,0.094,4.228,8.204,20.671,4.06,51.736,4.221,142.214,0.173,6.574,1.191,0.346,1.464,0.0,3.23,0.291,3.684,2.138,0.299,0.043,0.778,1.192,0.371,"na",0.341,0.057,2.815,0.646,0.266,6.539,2.267,0.1,0.049,0.68,0.409,0.524,3.308,"na",1.079,0.007,0.158,"na",0.38,"na",42.346,"na",1.68,0.006,0.0
1984,1.035,1.265,1.209,"na",0.219,0.373,0.829,0.252,18.342,53.687,78.994,0.097,0.864,75.098,0.005,0.1,4.425,9.521,21.027,5.17,55.778,4.484,154.092,0.201,7.186,1.209,0.351,1.526,0.023,3.278,0.373,3.592,2.874,0.341,0.054,0.904,1.258,0.401,"na",0.422,0.061,2.761,0.978,0.255,6.601,2.486,0.125,0.066,0.696,0.448,0.592,3.275,"na",1.668,0.012,0.236,"na",0.397,"na",45.83,"na",1.853,0.005,0.0
1985,1.248,1.307,1.296,1.327,0.249,0.457,0.811,0.25,18.93,"na",84.562,0.1,0.947,74.059,0.005,0.103,4.893,10.351,21.715,5.601,53.81,4.592,158.621,0.253,7.79,1.261,0.359,1.389,0.113,3.613,0.459,4.018,3.172,0.418,0.078,0.977,1.298,0.386,0.452,0.478,0.087,2.686,1.083,0.243,6.931,2.515,0.16,0.051,0.713,0.465,0.547,3.139,41.108,1.728,0.015,0.31,7.618,0.408,3.926,43.334,3.167,1.861,0.003,0.0
1986,1.436,1.459,1.416,1.283,0.281,0.523,0.813,0.255,18.387,"na",91.063,0.108,0.994,71.768,0.004,0.096,5.129,11.42,21.2,6.691,51.904,4.974,162.831,0.295,7.306,1.342,0.35,1.195,0.192,3.695,0.529,4.225,3.301,0.584,0.142,0.939,1.455,0.527,0.483,0.515,0.102,2.386,1.457,0.283,6.337,2.505,0.187,0.055,0.764,0.422,0.581,3.177,44.755,2.316,0.037,0.362,7.756,0.417,3.635,42.212,3.535,2.048,0.003,0.0
1987,1.593,1.425,1.445,1.179,0.33,0.508,0.811,0.266,18.76,"na",96.404,0.107,0.992,74.676,0.004,0.094,5.602,12.15,21.798,7.31,54.075,4.976,171.08,0.329,7.92,1.354,0.368,1.429,0.245,4.17,0.585,4.423,3.526,0.673,0.345,1.149,1.491,0.439,0.523,0.46,0.113,2.425,1.576,0.28,6.348,2.703,0.21,0.054,0.818,0.424,0.562,3.019,48.429,2.463,0.036,0.506,8.067,0.442,3.26,43.73,3.644,1.996,0.003,0.0
1988,1.633,1.685,1.476,1.119,0.388,0.538,0.84,0.281,17.601,"na",102.201,0.128,1.033,75.947,0.004,0.126,5.958,12.939,20.644,8.108,56.359,5.373,178.148,0.331,9.121,1.387,0.354,1.326,0.241,4.348,0.643,4.248,3.841,0.786,0.513,1.244,1.511,0.627,0.59,0.504,0.099,2.45,1.622,0.336,5.588,2.713,0.211,0.051,0.865,0.42,0.585,2.949,52.334,2.667,0.085,0.598,8.063,0.507,2.959,44.789,3.644,2.038,0.003,0.0
1989,1.923,1.787,1.713,1.047,0.411,0.561,0.826,0.297,17.861,"na",106.598,0.118,0.79,78.118,0.011,0.179,6.554,13.588,20.939,9.133,57.621,5.613,184.716,0.34,9.717,1.467,0.359,1.284,0.31,4.701,0.721,4.171,4.052,0.938,0.593,1.576,1.549,0.75,0.556,0.625,0.104,2.358,1.76,0.39,6.125,2.76,0.219,0.043,0.925,0.39,0.621,2.65,54.791,2.739,0.14,0.599,8.232,0.51,2.82,45.546,3.763,2.098,0.003,0.0
1990,1.897,1.679,1.994,0.934,0.443,0.588,0.842,0.303,18.294,"na",111.047,0.291,0.771,80.163,0.015,0.232,6.982,14.441,20.847,9.848,59.33,5.832,191.21,0.31,10.009,1.492,0.38,1.299,0.316,4.998,0.752,4.606,4.309,1.122,0.366,2.494,1.579,0.385,0.59,0.57,0.081,2.553,1.743,0.371,6.181,2.447,0.237,0.041,0.988,0.268,0.631,2.578,58.012,3.081,0.154,0.653,8.04,0.529,2.573,46.768,3.736,2.359,0.004,0.0
1991,2.246,1.875,2.088,0.811,0.456,0.56,0.855,0.302,19.625,"na",111.619,0.285,0.789,82.249,0.014,0.246,7.483,15.713,22.133,10.39,59.643,6.047,193.868,0.322,10.534,1.51,0.376,1.49,0.398,5.389,0.846,5.128,4.732,1.249,0.16,2.946,1.588,0.046,0.604,0.601,0.082,2.589,2.069,0.362,6.982,2.403,0.24,0.039,1.067,0.299,0.764,2.257,57.211,3.233,0.18,0.809,7.719,0.536,2.234,46.519,3.835,2.352,0.007,0.0
1992,2.086,1.885,2.251,0.743,0.496,0.653,0.917,0.273,19.48,"na",110.315,0.279,0.811,83.871,0.015,0.268,7.799,16.573,22.064,11.059,60.843,6.04,194.186,0.364,11.575,1.536,0.384,1.507,0.413,5.596,0.912,5.201,5.001,1.393,0.208,3.11,1.653,0.24,0.565,0.621,0.082,2.503,2.16,0.391,7.011,2.474,0.262,0.035,1.044,0.287,0.794,1.976,57.143,3.506,0.185,0.861,5.488,0.516,1.918,46.765,3.909,2.315,0.02,0.0
1993,2.169,2.025,2.359,0.641,0.556,0.701,0.974,0.273,20.76,"na",109.329,0.297,0.804,87.221,0.017,0.222,8.063,17.596,23.259,10.232,62.891,6.447,196.55,0.427,12.778,1.635,0.377,1.504,0.454,5.684,1.051,6.131,5.21,1.419,0.234,1.666,1.765,0.498,0.511,0.585,0.105,2.688,2.334,0.447,7.17,2.382,0.252,0.037,1.205,0.368,0.83,1.886,55.013,3.68,0.184,0.972,5.979,0.581,1.758,47.426,4.124,2.505,0.023,0.0
1994,2.436,2.095,2.708,0.604,0.59,0.718,0.98,0.295,20.649,"na",107.929,0.292,0.782,91.086,0.023,0.289,7.64,19.178,23.327,11.924,66.034,6.889,199.015,0.466,13.83,1.712,0.389,1.577,0.492,5.226,1.127,6.546,5.936,1.534,0.291,2.647,1.862,0.549,0.316,0.587,0.136,2.827,2.472,0.408,6.773,2.578,0.264,0.039,1.229,0.349,0.865,1.668,54.035,3.931,0.2,1.074,3.049,0.665,1.667,49.376,4.32,2.65,0.023,0.0
1995,2.955,2.353,2.863,0.623,0.652,0.73,1.109,0.294,21.434,"na",110.193,0.303,0.757,92.367,0.024,0.277,8.444,20.149,24.208,13.536,66.299,7.552,202.56,0.515,14.778,1.75,0.408,1.627,0.533,5.949,1.164,7.165,5.963,1.749,0.291,3.216,1.839,0.853,0.398,0.583,0.156,2.824,2.737,0.444,6.848,2.671,0.369,0.037,1.26,0.357,0.901,1.625,52.362,3.946,0.252,1.137,2.958,0.714,1.555,48.698,4.446,2.953,0.014,0.0
1996,3.18,2.715,2.859,0.553,0.698,0.75,1.097,0.297,23.71,"na",115.026,0.387,0.816,96.469,0.022,0.281,9.005,21.94,27.375,14.546,67.055,8.318,211.496,0.561,14.851,1.956,0.439,1.757,0.646,6.296,1.235,8.498,6.266,1.904,0.297,3.771,1.836,0.853,0.343,0.588,0.152,2.972,3.488,0.498,7.73,3.581,0.398,0.038,1.366,0.352,0.937,1.545,53.292,4.071,0.267,1.311,2.998,0.804,1.567,49.231,4.472,3.184,0.027,0.0
1997,3.425,2.576,2.868,0.528,0.688,0.807,1.101,0.251,22.786,"na",114.91,0.483,0.85,97.244,0.025,0.27,10.078,23.42,26.999,15.699,67.957,8.467,212.154,0.612,15.454,2.214,0.549,1.732,0.793,7.243,1.266,8.695,6.45,2.076,0.28,3.973,1.789,0.852,0.56,0.604,0.144,3.01,3.997,0.481,6.864,4.124,0.454,0.022,1.365,0.361,1.298,1.34,50.654,4.167,0.416,1.619,1.478,0.875,1.595,49.493,4.692,3.311,0.05,0.0
1998,3.497,2.784,2.929,0.493,0.744,0.849,1.016,0.262,22.594,"na",119.078,0.506,0.794,98.584,0.024,0.256,10.733,23.809,26.959,16.871,69.262,8.957,217.662,0.641,16.023,2.27,0.628,1.692,0.763,7.756,1.304,9.135,6.343,2.278,0.271,4.487,1.765,0.872,0.492,0.585,0.167,3.186,3.989,0.582,6.547,4.244,0.472,0.038,1.438,0.366,1.571,1.255,52.371,4.303,0.524,1.757,1.136,0.875,1.535,50.053,5.017,3.473,0.084,0.0
1999,3.631,3.253,2.972,0.528,0.811,0.878,1.059,0.211,22.942,"na",124.514,0.592,0.86,99.401,0.024,0.316,11.772,25.306,27.729,18.301,69.17,9.169,223.915,0.753,16.5,2.457,0.551,1.807,0.782,8.718,1.564,10.039,6.878,2.334,0.292,5.346,1.622,0.799,0.654,0.478,0.164,3.312,4.086,0.42,6.09,4.654,0.497,0.038,1.64,0.349,2.068,1.259,52.673,4.246,0.52,1.925,1.948,1.104,1.547,49.357,5.089,2.944,0.121,0.0
2000,3.611,3.51,3.01,0.496,0.874,0.885,1.063,0.301,23.411,"na",130.904,0.599,0.896,101.201,0.023,0.348,13.036,26.769,28.316,19.923,70.271,9.95,232.105,0.757,17.011,2.645,0.553,1.705,0.82,8.866,1.95,10.949,6.82,2.447,0.289,5.669,1.54,0.88,0.818,0.539,0.322,3.221,4.794,1.081,5.856,4.769,0.996,0.032,1.732,0.372,2.487,1.231,51.82,4.566,0.518,2.016,4.004,1.457,1.523,50.039,5.15,2.991,0.149,0.0
2001,3.713,3.495,3.158,0.488,0.981,0.924,1.075,0.44,23.586,"na",134.73,0.698,0.95,103.712,0.022,0.367,13.455,27.617,28.856,21.767,72.028,10.421,238.442,0.775,17.359,2.957,0.575,1.726,0.845,8.366,2.347,10.723,6.64,2.46,0.254,6.317,1.415,0.873,0.837,0.568,0.665,3.206,4.743,1.477,6.305,5.189,1.492,0.034,1.834,0.393,2.704,1.213,51.739,4.935,0.533,1.966,4.382,1.558,1.563,51.462,5.257,3.178,0.187,0.0
2002,4.093,3.398,3.193,0.453,1.032,0.958,1.081,0.564,23.096,"na",141.286,0.711,1.079,102.536,0.02,0.342,14.059,29.414,29.469,23.965,70.211,10.724,243.823,0.936,17.485,3.185,0.58,1.721,0.856,8.605,2.542,10.498,7.314,2.569,0.217,7.512,1.357,0.801,0.893,0.542,0.798,3.263,4.895,1.658,6.101,6.299,1.61,0.041,1.988,0.402,2.954,1.193,52.976,5.212,0.589,2.055,4.57,1.812,1.71,49.463,5.35,3.052,0.224,0.0
2003,4.225,3.862,3.265,0.451,1.111,0.975,1.165,0.648,22.686,"na",149.754,0.634,1.054,103.088,0.023,0.315,15.093,31.275,29.781,25.228,70.508,11.695,252.842,1.017,17.033,3.414,0.556,1.792,0.81,9.081,2.803,10.432,7.659,2.75,0.143,7.879,1.289,0.919,1.076,0.506,0.913,3.371,5.101,2.07,5.875,7.006,1.774,0.049,2.472,0.406,3.144,1.173,55.209,5.52,0.625,2.15,5.41,2.54,1.77,50.104,5.317,2.709,0.222,0.0
2004,4.355,4.211,3.467,0.438,1.191,0.894,1.151,0.909,23.008,"na",157.549,0.831,1.012,102.925,0.133,0.317,15.757,33.221,30.686,27.939,69.17,13.1,260.474,1.115,17.053,4.032,0.592,1.653,0.953,8.882,3.065,9.739,7.304,2.715,0.092,9.161,1.2,0.999,1.264,0.739,0.967,3.573,5.803,2.24,6.91,7.583,1.8,0.08,2.96,0.441,3.912,1.165,56.212,6.02,0.573,2.233,5.324,2.834,1.869,48.544,5.467,3.042,0.387,0.0
2005,4.508,4.293,3.699,0.541,1.283,0.984,1.133,1.124,21.443,"na",165.297,1.009,1.09,102.214,0.172,0.346,16.523,35.992,29.798,30.385,68.975,13.688,267.511,1.106,17.333,4.809,0.624,1.601,1.056,8.215,3.958,8.936,7.379,2.759,0.133,9.748,1.121,1.131,1.411,1.039,1.16,4.287,6.55,2.302,6.329,8.243,2.017,0.141,3.155,0.437,4.586,1.092,57.033,6.548,0.556,2.372,5.769,3.109,1.904,47.355,5.467,2.945,0.601,0.0
2006,4.603,4.338,3.936,0.638,1.39,1.041,1.186,1.204,20.429,"na",174.015,1.058,1.408,103.33,0.234,0.375,17.95,37.785,29.056,32.524,70.588,15.022,277.345,1.129,17.357,5.71,0.654,1.581,1.049,7.866,5.094,8.104,7.295,2.727,0.133,10.623,1.019,1.141,1.474,1.213,1.198,4.688,6.624,2.72,6.232,8.515,2.35,0.165,3.224,0.437,5.077,1.076,58.514,6.752,0.57,2.435,6.108,3.775,1.932,48.543,5.731,3.381,0.654,0.0
2007,4.744,4.218,4.136,1.022,1.484,1.083,1.156,1.29,19.046,"na",180.798,1.218,1.669,103.783,0.273,0.378,19.095,39.384,27.825,35.58,71.928,15.549,284.58,1.137,16.901,6.752,0.702,1.449,0.93,7.899,5.186,7.305,7.022,2.802,0.44,11.908,0.901,1.035,1.528,1.404,1.285,4.534,6.543,3.387,6.125,8.672,2.381,0.249,3.27,0.438,6.329,1.039,58.208,6.84,0.547,2.603,6.62,3.971,1.932,50.494,5.888,3.604,0.661,0.0
2008,4.726,4.134,4.022,1.537,1.58,1.16,1.143,1.331,19.144,"na",187.671,1.614,1.762,106.178,0.334,0.361,19.833,41.138,28.846,38.368,73.312,15.578,293.849,1.411,16.066,7.809,0.841,1.316,1.012,7.97,5.477,7.023,7.22,2.836,0.623,12.434,0.857,1.164,1.765,1.457,1.176,4.557,6.677,3.315,6.719,9.587,2.329,0.338,3.339,0.414,7.688,1.009,58.998,7.373,0.537,2.875,6.666,3.938,1.958,52.689,5.829,3.225,0.698,0.0
2009,4.607,3.898,4.518,1.54,1.814,1.174,1.077,1.15,17.314,"na",179.735,1.561,1.798,105.952,0.265,0.359,18.658,43.298,27.427,40.597,74.037,15.12,285.687,1.208,15.001,8.315,0.978,1.233,0.847,7.408,5.838,5.923,7.551,3.453,0.663,13.696,0.744,1.056,1.839,1.461,1.098,5.088,6.474,2.39,6.348,10.024,2.314,0.347,3.357,0.414,8.942,1.006,51.878,7.211,0.594,3.095,3.681,4.104,1.968,53.948,5.623,3.076,0.748,0.076
2010,4.838,3.773,5.226,1.573,1.863,1.203,1.159,1.327,17.609,"na",198.259,1.762,1.752,108.38,0.315,0.356,19.937,48.042,28.008,46.594,75.073,15.848,306.639,1.478,14.473,9.341,1.049,1.076,0.826,7.488,5.71,5.603,8.418,4.64,0.69,14.521,0.78,1.078,1.977,1.545,1.181,4.952,6.537,3.43,7.138,10.299,2.486,0.708,3.42,0.416,11.985,0.97,57.895,8.057,0.815,3.629,4.285,4.211,1.88,55.648,5.504,2.946,0.878,0.605
2011,4.934,3.649,5.384,1.543,1.895,1.221,1.207,1.455,15.598,"na",206.03,1.731,1.767,110.256,0.409,0.295,19.607,48.384,25.441,50.935,79.388,16.205,316.286,1.695,14.616,10.272,1.02,1.013,0.663,7.701,5.722,4.459,7.999,4.254,0.61,15.235,0.784,1.244,1.944,0.722,1.214,5.041,6.478,3.73,6.496,9.724,2.625,1.111,3.419,0.433,14.547,0.975,59.68,8.48,0.718,3.702,6.025,4.054,1.891,59.731,5.219,2.925,0.792,0.912
2012,5.108,3.54,5.744,1.622,2.059,1.259,1.182,1.654,14.623,"na",208.571,1.745,1.74,113.423,0.243,0.273,20.054,49.151,25.717,53.28,82.042,16.767,321.994,1.946,14.503,10.756,1.112,0.913,0.578,7.569,5.654,3.782,7.555,3.688,0.612,15.792,0.797,1.422,1.914,1.118,1.207,4.906,6.682,3.968,6.443,10.986,2.733,1.154,3.531,0.438,15.684,0.974,58.072,9.105,0.587,4.136,6.285,4.009,1.871,62.633,5.196,3.078,0.871,0.735
2013,5.151,3.343,5.979,1.688,2.124,1.35,1.151,1.894,14.551,"na",212.082,1.789,1.803,114.573,0.605,0.246,19.189,50.273,25.093,55.065,83.217,17.113,326.655,2.16,14.699,11.785,1.279,0.833,0.481,7.676,5.221,3.579,7.51,3.082,0.684,15.895,0.718,1.499,2.069,1.177,1.244,5.078,7.054,3.326,6.95,10.443,2.979,1.2,3.443,0.43,16.223,0.968,59.454,9.194,0.483,4.185,6.309,4.031,1.95,63.44,5.21,2.96,0.91,1.002
2014,5.117,3.337,6.448,1.779,2.227,1.422,1.118,1.962,13.317,"na",214.265,1.822,2.27,119.228,0.709,0.236,19.407,52.191,23.865,57.07,88.541,17.33,333.493,2.297,15.393,12.692,1.193,0.782,0.464,7.757,4.544,3.622,7.392,2.924,0.729,17.711,0.664,1.381,2.098,1.144,1.601,4.963,6.965,4.141,5.864,10.45,2.84,1.27,3.385,0.419,16.36,0.986,57.196,9.41,0.447,4.215,6.79,3.959,1.956,68.184,5.247,3.076,0.953,0.944
2015,5.677,3.434,7.357,1.817,2.501,1.428,1.177,1.893,12.044,"na",217.531,1.907,2.836,122.982,0.78,0.265,19.703,54.57,23.382,58.865,91.837,17.498,340.514,2.342,15.571,13.126,1.123,0.728,0.464,7.877,4.121,3.935,7.369,2.827,0.706,18.52,0.629,1.554,2.126,1.197,1.859,4.639,7.146,4.602,4.389,11.246,2.975,1.225,3.391,0.414,16.955,0.989,56.546,9.601,0.392,3.985,7.04,3.728,1.822,71.626,5.283,3.489,0.995,0.276
2016,5.747,3.597,9.303,1.764,2.552,1.417,1.132,1.697,11.757,"na",218.371,2.07,2.941,124.144,0.873,0.281,19.97,55.989,23.018,60.867,91.14,17.251,342.515,2.367,16.561,13.31,1.05,0.668,0.454,8.818,3.884,4.028,6.825,2.639,0.955,19.602,0.536,1.585,2.214,1.084,1.764,4.212,7.29,4.114,4.05,11.171,3.034,1.353,3.346,0.399,17.079,0.873,56.858,10.162,0.352,3.899,6.459,3.236,1.835,70.368,5.126,3.67,0.988,0.062
2017,5.849,3.594,10.978,1.716,2.573,1.459,1.161,1.654,11.395,"na",228.994,2.519,2.959,127.092,0.923,0.274,21.773,58.78,23.405,63.844,92.062,17.319,356.086,2.662,17.059,14.435,0.981,0.617,0.489,8.828,4.743,4.053,6.577,2.758,1.005,21.662,0.514,1.681,2.625,1.115,1.74,3.937,7.589,4.567,3.54,11.923,3.121,1.259,3.352,0.391,17.001,0.998,61.492,10.781,0.301,3.743,6.002,3.273,1.881,71.066,5.166,3.623,0.915,0.063
